Metro Name,Predominant State,Metro population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,UV Index,Latitude,Longitude
Dayton,Ohio,809248,2000,$64022,31%,37,$213355,1621,$129,55,63%,$917,53%,336,2509,14%,5%,62%,40%,53%,2%,15%,74%,3%,5%,Eastern Standard Time,85,37,48,65,20,60%,55%,41,61,88,53%,66%,41%,42,11.62,9.19,36%,34%,38%,26,22,8,38,57,3,39.77969545295564,-84.16290169650634
Charleston-North Charleston,South Carolina,789932,1583,$75220,42%,37,$505341,1838,$262,27,63%,$1378,50%,465,3121,11%,3%,66%,47%,46%,2%,22%,65%,6%,6%,Eastern Standard Time,90,59,30,74,39,52%,55%,54,70,97,60%,61%,55%,51,18.52,10.26,28%,38%,28%,0,0,7,54,57,4,32.886736917514284,-80.01252353145352
Greensboro-High Point,North Carolina,771751,1879,$56325,36%,37,$273745,1701,$159,37,57%,$926,56%,804,3797,16%,5%,63%,52%,43%,4%,35%,48%,7%,10%,Eastern Standard Time,89,49,39,69,29,52%,55%,46,65,94,59%,61%,55%,46,14.26,9.57,30%,32%,30%,7,1,6,41,56,4,36.111268302822815,-79.82805598918446
Stockton-Lodi,California,771406,4357,$77686,19%,34,$529792,1770,$297,36,57%,$1514,50%,863,3110,13%,7%,61%,53%,39%,17%,7%,27%,42%,23%,Pacific Standard Time,95,57,37,61,39,45%,28%,46,51,94,75%,91%,52%,13,0.19,7.04,14%,1%,29%,0,0,7,3,51,5,37.91824887573016,-121.31387973818484
Cape Coral-Fort Myers,Florida,752251,1843,$63286,27%,47,$414721,1634,$253,25,69%,$1335,47%,249,1457,12%,4%,54%,37%,58%,1%,8%,63%,23%,17%,Eastern Standard Time,92,75,17,74,54,55%,60%,63,72,105,69%,68%,65%,56,29.66,5.89,36%,64%,22%,0,0,7,80,67,6,26.588441452155198,-81.84974419947619
Boise City,Idaho,750669,2646,$69941,34%,36,$477488,1797,$264,26,70%,$1138,47%,269,1520,10%,3%,66%,33%,53%,2%,1%,77%,15%,6%,Mountain Standard Time,93,37,55,62,24,42%,23%,33,42,89,63%,81%,38%,12,1.39,4.21,26%,11%,36%,18,14,7,14,37,4,43.614538654848,-116.39743437130502
Colorado Springs,Colorado,747343,2258,$75195,38%,35,N/A,N/A,N/A,33,63%,$1350,46%,562,3518,10%,6%,68%,33%,56%,2%,6%,67%,18%,7%,Mountain Standard Time,86,43,42,58,17,40%,39%,27,45,86,77%,81%,73%,18,8.74,1.73,24%,39%,17%,39,22,8,35,71,5,38.86317150197968,-104.76045837880508
Little Rock-North Little Rock-Conway,Arkansas,745222,1367,$57377,34%,35,$222965,1723,$129,34,60%,$899,53%,911,4183,15%,4%,64%,45%,49%,1%,29%,59%,6%,4%,Central Standard Time,92,50,41,71,30,57%,56%,50,68,102,68%,81%,56%,57,11.55,14.13,28%,25%,29%,3,0,7,55,41,4,34.79574498710923,-92.33053839922518
Lakeland-Winter Haven,Florida,713148,1584,$54513,21%,39,$298768,1660,$180,34,62%,$1089,52%,309,2654,15%,4%,57%,40%,54%,1%,18%,54%,23%,10%,Eastern Standard Time,92,73,19,74,51,56%,60%,61,72,108,69%,67%,65%,51,25.35,6.8,33%,60%,23%,0,0,7,82,55,6,28.021948486929116,-81.82306434665473
Akron,Ohio,702464,1958,$61864,31%,39,$204653,1454,$134,56,64%,$982,55%,449,2283,15%,6%,64%,49%,44%,3%,14%,74%,2%,5%,Eastern Standard Time,84,35,49,63,19,60%,56%,39,58,88,47%,64%,31%,38,11.88,7.47,39%,36%,42%,50,34,8,37,61,3,41.112149576970666,-81.47301501070814
Des Moines-West Des Moines,Iowa,702036,1875,$77749,39%,35,$274492,1393,$194,38,71%,$989,48%,465,2826,9%,4%,72%,49%,42%,4%,6%,77%,8%,9%,Central Standard Time,85,30,54,66,13,60%,58%,39,61,89,58%,71%,49%,39,14.9,4.21,31%,33%,26%,38,23,N/A,48,67,3,41.60324959766217,-93.68807495546459
Springfield,Massachusetts,699160,2203,$58904,32%,37,$327252,1621,$205,63,58%,$1060,60%,509,1838,17%,7%,59%,57%,35%,3%,9%,59%,26%,10%,Eastern Standard Time,85,35,49,61,16,53%,52%,37,58,87,57%,62%,56%,50,14.37,11.56,36%,39%,34%,44,17,7,20,56,3,42.17753175573328,-72.57725288981393
Ogden-Clearfield,Utah,687274,2882,$84209,31%,32,$478807,2282,$211,33,78%,$1197,42%,186,1869,6%,2%,69%,22%,46%,1%,1%,79%,13%,5%,Mountain Standard Time,90,35,54,65,20,43%,23%,32,43,86,65%,82%,46%,23,2.67,7.11,24%,12%,32%,107,36,8,38,75,4,41.14706676168778,-111.98714395962384
Madison,Wisconsin,674506,2037,$81846,43%,38,$398624,1853,$216,36,71%,$1049,47%,242,1953,7%,2%,70%,66%,27%,2%,3%,84%,6%,4%,Central Standard Time,82,27,55,61,11,60%,57%,35,-157,84,52%,64%,45%,41,15.13,5.54,34%,34%,31%,53,33,8,40,66,3,43.0622965384032,-89.42008551226581
Winston-Salem,North Carolina,672914,1684,$53295,31%,38,$271719,1704,$159,39,60%,$868,53%,603,3546,16%,5%,61%,48%,47%,3%,27%,53%,12%,9%,Eastern Standard Time,88,49,38,68,29,51%,54%,46,65,94,63%,67%,57%,48,13.57,10.52,34%,37%,34%,7,1,6,41,57,4,36.05011604517175,-80.20615971418414
Deltona-Daytona Beach-Ormond Beach,Florida,662671,1665,$57858,25%,46,$338386,1599,$211,32,68%,$1235,50%,432,2721,12%,4%,53%,40%,54%,2%,11%,68%,14%,9%,Eastern Standard Time,90,68,21,74,48,60%,64%,61,71,104,65%,65%,60%,49,20.38,7.31,33%,50%,26%,0,0,7,73,65,6,29.150125667207625,-81.14233817862007
Syracuse,New York,661106,2375,$53525,30%,36,$217264,1656,$131,66,55%,$883,62%,460,2342,21%,7%,58%,48%,44%,4%,15%,69%,6%,8%,Eastern Standard Time,82,32,49,61,16,60%,55%,38,58,83,44%,57%,32%,46,13.22,10.49,48%,40%,59%,118,59,8,26,72,3,43.12616210275476,-76.1552316228339
Provo-Orem,Utah,659913,2707,$85088,42%,25,$512573,2358,$219,24,72%,$1342,40%,89,1375,9%,3%,70%,13%,50%,1%,0%,81%,12%,7%,Mountain Standard Time,94,38,55,62,20,43%,23%,33,44,90,66%,83%,47%,17,2.21,5.36,24%,15%,32%,62,24,8,39,77,4,40.267395929906094,-111.75214198091005
Toledo,Ohio,646330,1565,$64860,33%,37,$275920,1779,$152,49,68%,$863,52%,96,1596,13%,5%,67%,43%,49%,1%,2%,85%,7%,2%,Eastern Standard Time,85,33,51,63,19,60%,55%,39,59,87,54%,69%,41%,37,11.56,7.28,34%,31%,36%,33,25,7,33,71,3,41.51078800276694,-83.71685164040241
Wichita,Kansas,644480,2025,$60019,30%,35,$197595,1739,$112,45,65%,$882,49%,824,4224,12%,5%,66%,33%,57%,3%,6%,70%,13%,7%,Central Standard Time,92,45,47,70,22,55%,51%,43,62,99,64%,73%,59%,36,13.61,3.48,23%,28%,16%,11,5,8,53,60,4,37.69324751176483,-97.31559449191126
Durham-Chapel Hill,North Carolina,642445,2835,$77773,56%,34,$451206,1921,$232,27,57%,$1232,54%,356,2250,12%,4%,68%,64%,30%,7%,25%,51%,11%,15%,Eastern Standard Time,90,51,38,70,31,53%,56%,46,65,98,59%,61%,55%,50,14.39,10.44,26%,29%,27%,4,2,6,42,51,4,35.876458603273534,-78.79309254547202
Augusta-Richmond County,Georgia,607673,1105,$70971,32%,40,$266255,1919,$135,34,71%,$1049,50%,365,3127,12%,5%,61%,48%,47%,2%,24%,62%,6%,5%,Eastern Standard Time,94,58,35,71,36,50%,52%,51,68,104,63%,66%,56%,45,14.08,12.14,29%,35%,32%,1,0,6,50,49,4,33.43890759207064,-82.03782782666647
Palm Bay-Melbourne-Titusville,Florida,601573,1948,$64090,30%,45,$375614,1722,$218,33,76%,$1235,48%,403,2173,10%,4%,56%,37%,57%,2%,11%,71%,11%,8%,Eastern Standard Time,90,71,19,73,50,57%,62%,61,72,104,69%,67%,65%,54,22.58,7.33,34%,51%,25%,0,0,7,81,69,6,28.21559081378204,-80.69540664917389
Jackson,Mississippi,594756,1071,$55298,33%,35,$191351,1789,$105,40,61%,$995,57%,159,3357,18%,7%,62%,53%,43%,1%,57%,37%,2%,2%,Central Standard Time,92,58,34,72,36,57%,57%,54,70,105,59%,66%,50%,58,13.73,16.99,30%,34%,33%,1,0,6,66,46,5,32.3267352311553,-90.18556918568149
Harrisburg-Carlisle,Pennsylvania,587411,3672,$61240,31%,37,$221608,1632,$141,60,58%,$950,55%,404,1627,13%,5%,67%,42%,51%,3%,17%,65%,10%,7%,Eastern Standard Time,86,38,48,65,22,54%,54%,41,62,90,54%,61%,51%,47,14.05,9.39,34%,38%,33%,24,10,6,30,57,4,40.27319974149371,-76.94254687631984
Spokane-Spokane Valley,Washington,577534,2831,$59703,30%,36,$403661,1886,$214,48,60%,$1005,54%,530,5113,14%,6%,61%,39%,48%,2%,2%,81%,6%,5%,Pacific Standard Time,87,36,51,56,25,52%,30%,34,43,84,52%,73%,28%,17,2.62,5.89,32%,16%,44%,50,33,8,10,52,3,47.69192105669823,-117.38957771660006
Scranton--Wilkes-Barre--Hazleton,Pennsylvania,566743,2525,$60270,26%,43,$190364,1769,$110,63,69%,$841,51%,318,1262,13%,5%,62%,41%,55%,1%,3%,81%,12%,7%,Eastern Standard Time,83,34,49,62,19,58%,55%,38,58,86,49%,61%,41%,45,13.92,9.07,39%,40%,42%,41,24,7,29,71,3,41.28518960568506,-75.84517861506373
Chattanooga,Tennessee,559860,1242,$57460,32%,38,N/A,N/A,N/A,44,61%,$963,54%,819,4518,14%,4%,62%,37%,56%,2%,20%,67%,6%,6%,Eastern Standard Time,89,49,39,69,31,55%,56%,48,67,97,55%,60%,46%,57,12.88,16.05,33%,35%,37%,3,1,5,55,52,4,35.09212332243204,-85.25009207174786
Modesto,California,550842,4768,$68837,18%,33,$452844,1690,$270,38,58%,$1354,50%,589,2850,13%,8%,61%,46%,45%,6%,3%,38%,48%,20%,Pacific Standard Time,95,56,38,64,39,45%,28%,46,51,94,76%,94%,51%,11,0.13,6.16,13%,0%,28%,0,0,7,3,53,5,37.61468535227076,-120.96603561371387
Lancaster,Pennsylvania,550480,5129,$75429,26%,40,$291879,1730,$169,45,71%,$1132,43%,269,1187,7%,3%,66%,37%,56%,2%,3%,84%,7%,4%,Eastern Standard Time,86,39,47,65,22,54%,54%,41,62,90,55%,61%,51%,46,14.23,9.38,35%,37%,35%,26,9,7,30,56,3,40.07595087018324,-76.29234773727194
Portland-South Portland,Maine,547792,1018,$68804,42%,41,$522272,1675,$322,57,64%,$1177,54%,150,1590,10%,4%,68%,54%,38%,2%,3%,88%,2%,6%,Eastern Standard Time,80,32,47,60,14,58%,59%,35,57,81,55%,60%,54%,51,13.43,12.61,36%,36%,37%,73,26,7,17,74,2,43.609363141987124,-70.3814470721255
Youngstown-Warren-Boardman,Ohio,542459,1674,$48497,20%,42,$172927,1597,$113,60,66%,$713,57%,137,1524,18%,7%,57%,44%,50%,0%,12%,78%,4%,1%,Eastern Standard Time,83,35,48,60,18,60%,56%,39,58,85,44%,58%,30%,44,13.06,9.37,43%,39%,51%,73,50,8,33,64,3,41.15269518883824,-80.66387966497314
Lansing-East Lansing,Michigan,541730,1824,$63017,47%,34,$216169,1709,$122,43,62%,$969,57%,514,3200,15%,5%,63%,53%,39%,6%,5%,78%,4%,8%,Eastern Standard Time,83,30,52,61,17,62%,56%,38,58,85,50%,66%,39%,36,11.03,6.73,38%,31%,46%,47,36,8,33,72,3,42.7145484808315,-84.56694494068708
Fayetteville-Springdale-Rogers,Arkansas,538063,1388,$71446,31%,34,$348383,1880,$184,24,62%,$973,43%,362,2402,10%,3%,67%,34%,57%,4%,2%,61%,22%,14%,Central Standard Time,90,47,42,68,26,56%,55%,47,66,97,60%,71%,52%,50,12.53,7.66,29%,28%,24%,6,1,7,54,56,4,36.23400237197912,-94.19918915638772
Fayetteville,North Carolina,518825,1362,$48795,26%,30,$223607,1638,$136,35,47%,$1003,55%,850,3598,18%,8%,65%,56%,40%,2%,40%,37%,12%,7%,Eastern Standard Time,91,54,36,71,32,53%,56%,47,66,100,59%,61%,55%,48,15.04,10.26,33%,38%,32%,2,0,6,42,60,4,35.0776461561399,-78.97899235190835
Lexington-Fayette,Kentucky,514392,1352,$60240,40%,35,$294446,1767,$166,36,57%,$937,53%,138,2648,15%,4%,67%,45%,47%,3%,12%,73%,6%,8%,Eastern Standard Time,86,42,44,66,25,57%,60%,44,64,94,55%,65%,46%,52,14.11,12.37,37%,36%,41%,15,10,5,45,56,4,38.05200073162908,-84.46976131640407
Pensacola-Ferry Pass-Brent,Florida,503173,1828,$63027,28%,38,$301193,1700,$175,36,65%,$1154,52%,485,3075,13%,6%,60%,30%,64%,2%,17%,68%,6%,5%,Eastern Standard Time,91,63,28,75,42,60%,63%,58,72,106,60%,60%,52%,66,22.44,16.15,30%,43%,31%,0,0,7,68,62,5,30.49125824825234,-87.14850594286234
Santa Rosa,California,492498,4070,$90932,35%,41,$802764,1660,$492,40,58%,$1883,50%,419,1500,8%,5%,66%,68%,22%,4%,1%,59%,29%,17%,Pacific Standard Time,84,58,26,52,37,69%,69%,47,51,90,67%,69%,60%,29,0.32,16.64,18%,2%,35%,0,0,6,2,65,4,38.41280755655977,-122.71009990615407
Reno,Nevada,483805,2270,$72274,30%,37,$506166,1685,$302,31,56%,$1272,52%,518,2155,11%,5%,67%,46%,45%,5%,2%,59%,26%,14%,Pacific Standard Time,92,45,47,59,25,31%,19%,29,38,88,81%,92%,65%,10,1.07,4.77,15%,7%,22%,33,16,6,15,63,5,39.56025182969762,-119.80918197474658
Huntsville,Alabama,483366,1031,$67190,42%,38,$329518,2066,$158,34,66%,$903,49%,N/A,N/A,12%,4%,62%,34%,58%,2%,25%,61%,7%,6%,Central Standard Time,91,51,39,70,32,57%,57%,49,67,102,57%,62%,48%,56,12.64,17.24,32%,32%,37%,2,0,7,56,50,4,34.634536459142986,-86.81256584956198
Port St. Lucie,Florida,482922,1818,$63636,25%,45,$407875,1685,$231,28,72%,$1418,49%,227,1300,12%,5%,57%,44%,52%,1%,18%,58%,19%,15%,Eastern Standard Time,90,73,17,76,56,61%,65%,65,73,103,70%,73%,67%,57,21.57,8.03,36%,49%,28%,0,0,8,76,73,6,27.286265504882294,-80.34294174571755
Lafayette,Louisiana,479888,1818,$53501,27%,36,$201405,1674,$120,40,62%,$870,53%,510,3754,21%,7%,61%,29%,66%,1%,30%,60%,4%,3%,Central Standard Time,91,61,30,74,42,59%,61%,57,71,105,67%,81%,48%,61,20.19,14.34,31%,42%,33%,0,0,6,72,54,5,30.177069423248813,-92.0472867475182
Myrtle Beach-Conway-North Myrtle Beach,South Carolina,478654,1218,$59208,29%,48,$340992,1497,$231,25,70%,$1118,47%,649,6550,12%,5%,52%,31%,65%,1%,11%,76%,6%,5%,Eastern Standard Time,87,56,31,72,35,50%,53%,52,69,92,62%,65%,56%,56,18.53,10.9,31%,37%,32%,0,0,7,52,69,5,33.84441043276026,-78.68423393660927
Springfield,Missouri,472164,1848,$47305,29%,33,$217700,1529,$140,36,53%,$814,52%,982,5414,17%,4%,62%,28%,64%,1%,2%,87%,4%,3%,Central Standard Time,88,44,44,67,22,58%,57%,44,64,94,58%,69%,50%,49,12.93,7.81,33%,33%,28%,11,6,7,54,54,4,37.19285809745247,-93.28865164261991
Visalia-Porterville,California,470999,3445,$56892,14%,30,$345307,1713,$209,36,55%,$1051,51%,413,2444,20%,10%,61%,41%,51%,3%,1%,24%,68%,21%,Pacific Standard Time,96,57,39,67,38,39%,22%,45,51,93,76%,95%,49%,9,0.13,4.86,12%,0%,24%,0,0,6,5,43,5,36.25594688173832,-119.2544218414472
Killeen-Temple,Texas,467838,1914,$56000,24%,31,$261704,1764,$148,30,52%,$976,51%,309,2098,14%,7%,64%,37%,56%,2%,24%,42%,25%,7%,Central Standard Time,97,60,36,72,35,55%,50%,53,68,109,58%,69%,52%,36,7.4,6.46,21%,16%,23%,0,0,6,43,61,5,31.100938660277308,-97.65316044114074
Asheville,North Carolina,465558,1441,$60566,42%,44,$472369,1785,$264,38,62%,$1062,51%,625,5806,11%,3%,60%,45%,49%,1%,6%,82%,7%,6%,Eastern Standard Time,84,47,37,63,27,55%,59%,46,64,89,59%,59%,57%,51,14.04,12.49,38%,45%,38%,10,4,6,44,69,4,35.5018244385495,-82.55967396298706
York-Hanover,Pennsylvania,454605,7263,$68567,24%,40,$223686,1581,$141,51,71%,$1084,49%,178,1837,8%,4%,66%,32%,61%,1%,4%,82%,8%,4%,Eastern Standard Time,86,39,46,65,22,53%,53%,41,62,88,55%,61%,52%,47,13.87,9.6,35%,36%,34%,28,10,7,29,58,3,39.93392782430896,-76.75257643004934
Vallejo-Fairfield,California,451432,3530,$90407,27%,38,$595394,1676,$355,38,62%,$1823,49%,468,2969,8%,6%,63%,60%,30%,15%,13%,35%,27%,19%,Pacific Standard Time,90,57,32,58,40,53%,43%,46,51,92,73%,86%,54%,20,0.19,11.81,15%,1%,29%,0,0,6,3,60,5,38.23442827351351,-122.07252851327642
Santa Maria-Santa Barbara,California,447651,4985,$83824,31%,35,$1208543,1832,$622,46,49%,$1798,53%,387,2038,14%,6%,64%,59%,31%,4%,1%,41%,48%,22%,Pacific Standard Time,77,64,13,54,42,62%,65%,47,53,79,72%,77%,70%,13,0.11,8.1,11%,1%,22%,0,0,6,3,72,5,34.65486583971309,-120.13761598126759
Salinas,California,438953,5021,$79133,22%,34,$783156,1617,$488,44,47%,$1714,52%,357,1890,12%,5%,61%,66%,26%,5%,2%,25%,63%,30%,Pacific Standard Time,76,61,15,52,40,63%,60%,46,51,76,68%,73%,57%,14,0.12,7.71,15%,2%,29%,0,0,7,3,73,5,36.61980700058879,-121.63456481851493
Salem,Oregon,430384,4158,$62775,24%,35,$430776,1624,$265,40,59%,$1129,52%,306,2985,14%,5%,61%,42%,46%,2%,1%,63%,27%,12%,Pacific Standard Time,83,46,36,55,34,59%,42%,43,51,82,50%,67%,30%,43,2.04,17.99,41%,13%,59%,13,5,6,4,46,2,44.95162359055999,-123.01437800937559
Mobile,Alabama,430194,1159,$46674,25%,38,$187531,1598,$117,45,59%,$904,57%,N/A,N/A,19%,6%,56%,41%,55%,2%,46%,46%,2%,3%,Central Standard Time,91,62,29,75,42,57%,59%,56,71,104,60%,60%,52%,68,22.01,16.53,33%,47%,34%,0,0,7,75,47,5,30.688417304034047,-88.11860973184854
Reading,Pennsylvania,426967,5531,$62557,22%,38,$248372,1767,$140,52,64%,$1037,54%,173,1312,15%,7%,65%,42%,52%,1%,6%,58%,32%,10%,Eastern Standard Time,87,38,48,66,22,55%,54%,40,60,90,54%,62%,49%,51,16.15,10.69,37%,39%,38%,27,12,7,29,53,3,40.358402104911974,-75.90940333039873
Corpus Christi,Texas,422194,1765,$59229,21%,36,$306811,1385,$221,39,61%,$1098,52%,706,3281,17%,5%,61%,44%,51%,1%,3%,30%,62%,8%,Central Standard Time,93,67,26,79,50,61%,58%,62,73,106,59%,75%,46%,29,8.37,4.54,19%,15%,21%,0,0,8,25,81,6,27.776286703647266,-97.30348014732353
Brownsville-Harlingen,Texas,420554,1730,$43241,18%,32,$231032,1566,$148,30,63%,$798,49%,424,3035,27%,5%,56%,64%,32%,0%,0%,8%,89%,22%,Central Standard Time,96,70,25,77,50,60%,56%,64,73,111,59%,77%,42%,28,9.69,4.09,21%,18%,23%,0,0,N/A,26,78,6,26.069798865246266,-97.5415129983196
Manchester-Nashua,New Hampshire,420504,2220,$72428,34%,39,$389225,1574,$247,50,55%,$1290,55%,264,1392,9%,4%,71%,46%,46%,5%,4%,76%,10%,13%,Eastern Standard Time,83,34,49,62,14,53%,51%,35,57,85,55%,62%,53%,46,12.8,10.61,35%,37%,34%,68,25,6,17,63,3,42.87593866724817,-71.51348626091786
Fort Wayne,Indiana,415887,2009,$55721,27%,35,$194000,1625,$118,47,68%,$832,52%,336,2620,14%,5%,66%,35%,58%,4%,12%,70%,8%,7%,Eastern Standard Time,84,33,51,63,18,61%,55%,40,60,87,60%,75%,47%,40,12.47,7.79,37%,35%,41%,33,30,7,36,69,3,41.08223448911488,-85.15373476974786
Gulfport-Biloxi-Pascagoula,Mississippi,414642,1129,$51162,25%,38,$237938,1785,$134,33,62%,$953,53%,298,4809,17%,9%,61%,30%,66%,2%,25%,61%,6%,4%,Central Standard Time,90,60,29,74,42,57%,59%,56,71,102,58%,61%,51%,63,21.93,14.86,30%,41%,32%,0,0,7,74,64,5,30.41135478273236,-88.93648343981543
Salisbury,Maryland,414424,1742,$58601,28%,39,N/A,N/A,N/A,36,52%,$1164,57%,585,3656,16%,8%,63%,39%,55%,2%,25%,63%,4%,8%,Eastern Standard Time,87,46,40,69,28,54%,55%,43,63,92,54%,60%,50%,50,14.43,10.52,34%,34%,36%,8,3,7,27,74,3,38.33165622312865,-75.45780567216686
Flint,Michigan,406400,3818,$59510,20%,42,$163364,1342,$118,50,75%,$834,54%,450,1153,15%,9%,57%,51%,42%,0%,12%,78%,3%,1%,Eastern Standard Time,82,31,51,60,16,61%,55%,38,58,83,50%,66%,39%,35,10.57,6.35,38%,33%,43%,57,46,8,32,69,3,43.00185813805303,-83.71099625419241
Peoria,Illinois,404226,1896,$59799,32%,38,$142198,1567,$89,55,69%,$823,52%,675,2526,14%,6%,61%,39%,52%,3%,13%,75%,4%,4%,Central Standard Time,86,33,52,66,17,61%,58%,40,62,91,54%,65%,46%,42,12.66,6.89,34%,34%,31%,29,18,8,47,72,3,40.71236496183911,-89.56215210389743
Canton-Massillon,Ohio,401578,5058,$57569,22%,43,$197732,1435,$133,55,69%,$773,52%,613,3236,11%,3%,62%,37%,56%,0%,3%,90%,1%,1%,Eastern Standard Time,84,36,48,63,20,60%,56%,39,58,87,46%,63%,30%,43,12.68,9.05,44%,38%,53%,47,41,8,38,58,3,40.80696405194657,-81.37892455531676
Savannah,Georgia,401541,1217,$62797,34%,35,$344959,1786,$192,38,53%,$1215,55%,178,2051,13%,6%,66%,51%,44%,2%,38%,49%,6%,6%,Eastern Standard Time,93,61,31,73,39,54%,57%,55,70,105,59%,59%,55%,50,18.43,10.32,32%,45%,31%,0,0,6,60,58,5,32.01759615994364,-81.17388179082158
Anchorage,Alaska,399352,218,$79563,23%,36,$377068,1687,$223,24,80%,$1225,43%,1202,4262,10%,7%,60%,35%,53%,1%,1%,77%,5%,3%,Alaska Standard Time,68,21,46,50,7,61%,60%,26,47,67,N/A%,N/A%,N/A%,17,6.44,3.34,29%,41%,26%,68,34,4,4,47,1,61.61230013231508,-149.43148298374393
Beaumont-Port Arthur,Texas,397924,1352,$56824,19%,36,$198731,1673,$117,44,64%,$920,51%,691,2608,17%,5%,59%,40%,57%,3%,29%,46%,18%,10%,Central Standard Time,93,63,30,75,42,62%,62%,59,73,110,57%,66%,47%,65,22.46,13.18,28%,34%,30%,0,0,7,67,40,5,30.018952906569496,-94.02655344029525
Shreveport-Bossier City,Louisiana,395086,1482,$43620,23%,36,$189159,1720,$110,44,56%,$869,58%,755,4593,23%,8%,57%,42%,54%,1%,46%,45%,4%,2%,Central Standard Time,94,58,36,74,36,58%,56%,54,70,108,58%,69%,50%,49,10.43,12.86,26%,24%,31%,1,0,7,55,40,5,32.49812901388547,-93.73146237872163
Trenton,New Jersey,384951,4496,$85458,36%,38,$365142,1581,$221,67,59%,$1413,55%,515,1359,15%,7%,61%,66%,29%,4%,25%,44%,23%,21%,Eastern Standard Time,87,40,46,65,23,53%,52%,41,61,90,55%,62%,50%,49,14.65,11.25,35%,36%,36%,26,11,7,28,47,4,40.24529671958711,-74.6911287942061
Montgomery,Alabama,384791,1071,$56227,32%,36,$207388,1888,$107,36,61%,$964,57%,N/A,N/A,17%,6%,60%,50%,46%,2%,49%,42%,3%,4%,Central Standard Time,94,60,33,74,39,55%,56%,53,69,109,58%,62%,50%,55,14.27,16.41,30%,37%,36%,1,0,5,57,35,5,32.38997633452408,-86.29000173401042
Davenport-Moline-Rock Island,Illinois,384055,1577,$62465,28%,39,$173398,1627,$106,56,72%,$814,48%,430,2648,12%,4%,63%,45%,47%,2%,6%,77%,10%,5%,Central Standard Time,84,31,53,65,14,59%,57%,39,62,88,53%,63%,46%,41,14.69,5.83,33%,33%,31%,38,19,8,46,72,3,41.47424643808851,-90.45012512906293
Tallahassee,Florida,382747,1742,$49264,44%,30,$245822,1399,$177,34,46%,$1027,67%,683,3953,24%,6%,64%,59%,35%,3%,37%,48%,7%,7%,Eastern Standard Time,92,63,28,71,40,54%,59%,57,71,105,61%,61%,54%,56,20.41,13.97,30%,48%,28%,0,0,5,82,32,5,30.455289058034815,-84.27977452350378
Eugene,Oregon,380532,3641,$55566,35%,37,$465669,1603,$289,42,53%,$1082,57%,358,3403,17%,7%,62%,53%,35%,3%,1%,78%,10%,6%,Pacific Standard Time,84,46,38,51,34,61%,42%,44,51,83,50%,67%,30%,45,2.28,18.17,46%,15%,68%,4,0,7,4,45,3,44.04030575755745,-123.11687731900835
Naples-Immokalee-Marco Island,Florida,372797,3295,$77590,31%,49,$617123,1672,$373,31,63%,$1386,45%,44,995,12%,4%,53%,35%,61%,0%,10%,50%,37%,29%,Eastern Standard Time,91,75,16,74,53,55%,60%,65,73,104,70%,73%,67%,54,28.05,5.33,32%,58%,18%,0,0,7,73,70,7,26.194381884630527,-81.66572796293596
Ann Arbor,Michigan,372428,4157,$81213,56%,43,$376023,1604,$231,36,80%,$1273,44%,444,2115,2%,2%,64%,67%,26%,1%,0%,89%,5%,3%,Eastern Standard Time,84,32,51,61,17,59%,54%,38,58,86,51%,66%,39%,36,10.62,7.12,43%,37%,50%,60,51,8,32,60,3,42.27183507878369,-83.72423933858525
Ocala,Florida,370372,2030,$59645,33%,62,$333012,1476,$225,19,87%,$1381,34%,526,4312,9%,2%,24%,31%,66%,0%,7%,82%,8%,6%,Eastern Standard Time,91,70,21,73,47,55%,59%,61,71,105,68%,66%,64%,50,23.24,7.68,32%,54%,25%,0,0,7,79,61,6,28.972697010032718,-82.01727387708559
Hickory-Lenoir-Morganton,North Carolina,364877,933,$52626,24%,41,$265176,1601,$163,42,64%,$754,52%,373,3963,15%,6%,59%,27%,68%,3%,9%,73%,11%,7%,Eastern Standard Time,88,49,38,67,29,52%,55%,46,65,93,63%,66%,57%,49,13.84,11.32,33%,39%,32%,13,4,6,39,59,4,35.76594598479503,-81.40690783224608
Huntington-Ashland,West Virginia,361177,2222,$50133,26%,40,$143882,1589,$90,52,65%,$778,53%,386,2726,19%,5%,53%,28%,66%,1%,3%,90%,1%,1%,Eastern Standard Time,86,42,44,65,24,56%,57%,44,63,91,45%,54%,35%,48,14.04,11.18,38%,37%,42%,16,10,5,42,48,4,38.46039664891607,-82.43927906124439
