	Month of Period End
Bayview, TX	$430K
Bayville, NY	$633K
Baywood Park, CA	$2,438K
Baywood, NY	$301K
Beach City, OH	$335K
Beach City, TX	$615K
Beach Haven West, NJ	$740K
Beach Haven, NJ	$1,600K
Beach Park, IL	$192K
Beachwood, NJ	$410K
Beachwood, OH	$435K
Beacon Hill, WA	
Beacon Square, FL	$229K
Beacon View, NE	
Beacon, IA	
Beacon, NY	$400K
Beal City, MI	
Bealeton, VA	$203K
Beallsville, MD	
Beallsville, PA	
Beaman, IA	
Bean Station, TN	$203K
Bear Creek Ranch, TX	$300K
Bear Creek Village, PA	
Bear Creek, CA	
Bear Creek, FL	$390K
Bear Creek, TX	$801K
Bear Creek, WI	$89K
Bear Flat, AZ	
Bear Lake, MI	$255K
Bear Lake, PA	
Bear River City, UT	
Bear Rocks, PA	$330K
Bear Valley Springs, CA	$463K
Bear, DE	$380K
Bearcreek, MT	
Bearden, AR	
Beasley, TX	$306K
Beason, IL	
Beatrice, NE	$155K
Beatty, NV	
Beatty, OR	
Beattystown, NJ	
Beaufort, NC	$449K
Beaufort, SC	$386K
Beaumont, CA	$486K
Beaumont, KS	
Beaumont, TX	$192K
Beauregard, MS	
Beaux Arts Village, WA	$1,800K
Beauxart Gardens, TX	
Beaver Creek, MD	
Beaver Creek, TX	$175K
Beaver Crossing, NE	
Beaver Dam Lake, NY	$418K
Beaver Dam, AZ	
Beaver Dam, WI	$168K
Beaver Falls, PA	$129K
Beaver Marsh, OR	
Beaver Meadows, PA	$80K
Beaver Springs, PA	
Beaver Valley, AZ	$239K
Beaver, IA	
Beaver, PA	$275K
Beavercreek, OH	$305K
Beavercreek, OR	$943K
Beaverdale, IA	
Beaverdale, PA	
Beaverdam, OH	
Beaverton, OR	$530K
Beavertown, PA	$170K
Bechtelsville, PA	
Beckemeyer, IL	
Becker, MN	$324K
Becket, MA	$455K
Beckett Ridge, OH	$298K
Beckett, NJ	$354K
Bedford Heights, OH	$168K
Bedford Hills, NY	$325K
Bedford Park, IL	$415K
Bedford, IN	$171K
Bedford, MA	$740K
Bedford, NY	$1,019K
Bedford, OH	$139K
Bedford, TX	$406K
Bedford, VA	$190K
Bedminster, NJ	
Bee Cave, TX	$765K
Bee Ridge, FL	$372K
Bee, NE	$185K
Beebe, AR	$190K
Beech Bluff, TN	
Beech Creek, PA	
Beech Grove, IN	$186K
Beech Grove, KY	
Beech Island, SC	$133K
Beech Mountain Lakes, PA	$310K
Beech Mountain, NC	$276K
Beecher City, IL	
Beecher, IL	$218K
Beecher, MI	$39K
Beechmont, KY	
Beechwood Trails, OH	$382K
Beechwood Village, KY	$371K
Beechwood, MI	$271K
Beechwood, MS	$170K
Beekman, NY	$406K
Beekmantown, NY	$301K
Beesleys Point, NJ	
Beeville, TX	$82K
Beggs, OK	$294K
Bel Air North, MD	$458K
Bel Air South, MD	$350K
Bel Air, MD	$352K
Bel Aire, KS	$260K
Bel-Nor, MO	
Bel-Ridge, MO	$50K
Belcher, LA	$52K
Belchertown, MA	$298K
Belding, MI	$204K
Belfair, WA	$440K
Belfast, PA	$262K
Belfonte, OK	
Belford, NJ	$610K
Belfry, MT	
Belgium, IL	
Belgium, WI	$340K
Belgrade, MN	
Belgrade, MT	$500K
Belhaven, NC	$270K
Belknap, IL	
Bell Acres, PA	$890K
Bell Arthur, NC	
Bell Buckle, TN	$440K
Bell Canyon, CA	$1,625K
Bell Gardens, CA	
Bell Hill, WA	
Bell, CA	$716K
Bell, FL	
Bella Villa, MO	$190K
Bella Vista, AR	$328K
Bella Vista, CA	
Bellair-Meadowbrook Terrace, FL	$235K
Bellaire, OH	$50K
Bellaire, TX	$788K
Bellbrook, OH	$300K
Belle Center, OH	
Belle Chasse, LA	$370K
Belle Fontaine, AL	
Belle Glade, FL	$287K
Belle Haven, VA	$595K
Belle Isle, FL	$415K
Belle Mead, NJ	$888K
Belle Meade, TN	$3,950K
Belle Plaine, IA	$172K
Belle Plaine, KS	$155K
Belle Plaine, MN	$343K
Belle Rive, IL	
Belle Rose, LA	$135K
Belle Terre, NY	
Belle Vernon, PA	$25K
Belleair Beach, FL	$690K
Belleair Bluffs, FL	$290K
Belleair Shore, FL	
Belleair, FL	$632K
Bellechester, MN	
Bellefontaine Neighbors, MO	$105K
Bellefontaine, OH	$220K
Bellefonte, AR	
Bellefonte, DE	$246K
Bellefonte, KY	$298K
Bellefonte, PA	$290K
Bellemeade, KY	$445K
Bellemont, AZ	$569K
Belleplain, NJ	$351K
Bellerive Acres, MO	
Bellerive, MO	
Bellerose Terrace, NY	
Bellerose, NY	$775K
Belleview, FL	$260K
Belleview, KY	
Belleville, AR	
Belleville, IL	$155K
Belleville, MI	$232K
Belleville, NY	
Belleville, PA	$175K
Belleville, WI	$365K
Bellevue, ID	$529K
Bellevue, IL	$270K
Bellevue, KY	$332K
Bellevue, MI	$165K
Bellevue, NE	$261K
Bellevue, OH	$147K
Bellevue, PA	$217K
Bellevue, TX	
Bellevue, WA	$1,270K
Bellevue, WI	$329K
Bellewood, KY	
Bellflower, CA	$700K
Bellflower, IL	
Bellfountain, OR	
Bellingham, MA	$425K
Bellingham, WA	$605K
Bellmawr, NJ	$272K
Bellmead, TX	$55K
Bellmont, NY	
Bellmore, NY	$565K
Bellport, NY	$463K
Bells, TN	$195K
Bells, TX	$750K
Bellview, FL	$245K
Bellville, OH	$103K
Bellville, TX	$273K
Bellvue, CO	$856K
Bellwood, IL	$235K
Bellwood, PA	$170K
Bellwood, VA	$239K
Belmar, NJ	$1,761K
Belmont Estates, VA	
Belmont, CA	$2,350K
Belmont, MA	$1,341K
Belmont, NC	$430K
Belmont, NH	$425K
Belmont, OH	$130K
Belmont, PA	$115K
Belmont, VA	$950K
Beloit, OH	
Beloit, WI	$157K
Belpre, OH	$167K
Belspring, VA	
Belt, MT	
Belterra, TX	$850K
Belton, MO	$270K
Belton, SC	$193K
Belton, TX	$318K
Beltsville, MD	$385K
Belvedere Park, GA	$292K
Belvedere Tiburon, CA	$6,388K
Belvedere, CA	$3,814K
Belvedere, SC	$203K
Belvidere, IL	$175K
Belvidere, NJ	$300K
Belvidere, TN	
Belview, VA	
Belville, NC	
Belvoir, NC	
Belvue, KS	
Belwood, NC	$231K
Bement, IL	$14K
Bemidji, MN	$209K
Bemiss, GA	$251K
Bemus Point, NY	$479K
Ben Avon Heights, PA	
Ben Avon, PA	$342K
Ben Avon, SC	$195K
Ben Bolt, TX	
Ben Lomond, CA	$650K
Bena, MN	
Benavides, TX	
Benbow, CA	
Benbrook, TX	$310K
Bend, CA	
Bend, OR	$665K
Bendersville, PA	
Benedict, MD	
Benicia, CA	$830K
Benjamin, UT	
Benld, IL	$67K
Bennet, NE	$190K
Bennett Springs, MO	
Bennett, CO	$408K
Bennett, NC	
Bennettsville, SC	
Bennington, KS	$160K
Bennington, NE	$353K
Bennington, NH	
Bennington, OK	
Bennington, VT	$242K
Benns Church, VA	$432K
Bensalem, PA	$362K
Bensenville, IL	$277K
Bensley, VA	$200K
Benson, AZ	$263K
Benson, IL	
Benson, NC	$284K
Benson, PA	
Benson, UT	
Benson, VT	
Bensville, MD	$540K
Bent Creek, NC	$520K
Bent, NM	
Bentley, IA	
Bentley, IL	
Bentley, KS	$238K
Bentleyville, OH	
Bentleyville, PA	$110K
Benton City, MO	
Benton City, WA	$389K
Benton Harbor, MI	$110K
Benton Heights, MI	$110K
Benton Park, CA	$293K
Benton Ridge, OH	
Benton, AR	$212K
Benton, KS	
Benton, LA	$220K
Benton, MO	$177K
Benton, MS	
Benton, NY	$250K
Benton, PA	$50K
Benton, TN	$196K
Bentonia, MS	
Bentonville, AR	$447K
Benzonia, MI	
Berea, KY	$210K
Berea, OH	$201K
Berea, SC	$245K
Beresford, SD	$258K
Bergen, NY	
Bergenfield, NJ	$496K
Berger, MO	
Bergholz, OH	
Bergman, AR	
Berino, NM	
Berkeley Lake, GA	
Berkeley, CA	$1,390K
Berkeley, IL	$250K
Berkeley, MO	$95K
Berkey, OH	
Berkley, CO	$516K
Berkley, IA	
Berkley, MA	$563K
Berkley, MI	$300K
Berkshire Lakes, FL	$356K
Berkshire, NY	
Berlin Heights, OH	
Berlin, AL	
Berlin, GA	
Berlin, IL	
Berlin, MA	$498K
Berlin, NH	$174K
Berlin, NJ	$350K
Berlin, NY	$385K
Berlin, PA	
Bermuda Dunes, CA	$710K
Bermuda Run, NC	$278K
Bernard, IA	
Bernardston, MA	
Bernardsville, NJ	$740K
Berne, IN	$175K
Berne, NY	$257K
Bernice, LA	$110K
Bernville, PA	$376K
Berrien Springs, MI	$160K
Berry Creek, CA	
Berry Hill, TN	$665K
Berrydale, FL	
Berrysburg, PA	
Berryville, TX	
Berryville, VA	$587K
Berthoud, CO	$600K
Bertram, IA	
Bertsch-Oceanview, CA	$130K
Berwick, LA	
Berwick, ME	$365K
Berwick, PA	$155K
Berwyn Heights, MD	$500K
Berwyn, IL	$315K
Berwyn, PA	$1,000K
Beryl Junction, UT	
Bessemer City, NC	$246K
Bessemer, AL	$179K
Bessemer, PA	$61K
Bethalto, IL	$194K
Bethania, NC	
Bethany, IN	
Bethany, NY	$375K
Bethany, OK	$199K
Bethany, OR	$900K
Bethel Acres, OK	$305K
Bethel Heights, AR	$408K
Bethel Island, CA	$1,065K
Bethel Manor, VA	$179K
Bethel Park, PA	$292K
Bethel, CT	$560K
Bethel, MN	$338K
Bethel, NC	$132K
Bethel, OH	$286K
Bethel, PA	$293K
Bethel, VT	$359K
Bethel, WA	$550K
Bethesda, AR	$287K
Bethesda, MD	$1,111K
Bethesda, OH	$72K
Bethlehem Village, CT	$475K
Bethlehem, GA	$327K
Bethlehem, MS	
Bethlehem, NC	$364K
Bethlehem, NH	$375K
Bethlehem, NY	$358K
Bethlehem, PA	$280K
Bethpage, NY	$675K
Bethpage, TN	
Bettendorf, IA	$279K
Bettsville, OH	
Between, GA	
Beulah Beach, OH	
Beulah Valley, CO	
Beulah, MI	
Beurys Lake, PA	
Beverly Beach, FL	$640K
Beverly Hills, CA	$1,900K
Beverly Hills, FL	$195K
Beverly Hills, MI	$456K
Beverly Hills, MO	$53K
Beverly Hills, TX	
Beverly Shores, IN	
Beverly, IL	
Beverly, MA	$612K
Beverly, NJ	$268K
Beverly, OH	
Beverly, WA	
Bevil Oaks, TX	$220K
Bevington, IA	
Bexley, OH	$515K
Beyerville, AZ	
Bibo, NM	
Bicknell, IN	$120K
Biddeford, ME	$533K
Bidwell, OH	
Bieber, CA	
Bier, MD	
Big Bass Lake, PA	$173K
Big Bay, MI	
Big Bear City, CA	$379K
Big Bear Lake, CA	$685K
Big Beaver, PA	$200K
Big Bend, CA	
Big Bend, WI	
Big Coppitt Key, FL	$615K
Big Creek, CA	
Big Flat, AR	
Big Flats, NY	$230K
Big Foot Prairie, IL	
Big Foot Prairie, WI	$350K
Big Island, VA	
Big Lagoon, CA	
Big Lake, AK	
Big Lake, MN	$368K
Big Lake, WA	$846K
Big Pine Key, FL	$745K
Big Point, MS	$450K
Big Pool, MD	
Big Rapids, MI	$150K
Big River, CA	
Big Rock, IA	
Big Rock, IL	
Big Rock, TN	
Big Sandy, TX	$140K
Big Sky, MT	$2,490K
Big Spring, MD	
Big Spring, TX	
Big Stone Gap East, VA	$28K
Big Stone Gap, VA	$190K
Big Thicket Lake Estates, TX	
Bigelow Corners, CT	
Bigelow, AR	
Bigelow, MN	
Bigfoot, TX	
Bigfork, MN	
Bigfork, MT	
Biggs, CA	$295K
Biggsville, IL	
Bigler, PA	
Biglerville, PA	$279K
Billerica, MA	$650K
Billings, MO	$130K
Billings, MT	$370K
Billingsley, AL	
Billington Heights, NY	
Biloxi, MS	$246K
Biltmore Forest, NC	$1,875K
Biltmore, TN	
Bingham Farms, MI	$515K
Binghamton, NY	$122K
Biola, CA	
Birch Bay, WA	$515K
Birch Run, MI	$207K
Birchwood Lakes, PA	$173K
Birchwood Village, MN	$485K
Bird-in-Hand, PA	
Birds Landing, CA	
Birdsboro, PA	$258K
Birdseye, IN	
Birmingham, AL	$205K
Birmingham, MI	$723K
Birmingham, MO	
Birmingham, OH	
Birnamwood, WI	
Biron, WI	$130K
Bisbee, AZ	$235K
Biscay, MN	
Biscayne Park, FL	$1,075K
Bishop Hill, IL	
Bishop Hills, TX	
Bismarck, AR	
Bismarck, IL	
Bismarck, MO	$50K
Bithlo, FL	$508K
Bixby, OK	$296K
Bixby, TX	
Black Brook, NY	$318K
Black Butte Ranch, OR	
Black Canyon City, AZ	
Black Creek, NC	$200K
Black Creek, WI	$343K
Black Diamond, FL	$517K
Black Diamond, WA	$800K
Black Eagle, MT	$75K
Black Earth, WI	$341K
Black Forest, CO	
Black Hammock, FL	
Black Hawk, CO	$370K
Black Jack, MO	$205K
Black Lick, PA	$221K
Black Mountain, NC	$501K
Black Oak, AR	
Black Point-Green Point, CA	
Black River, NY	$240K
Black Sands, HI	$115K
Black, AL	
Blackburn, MO	$40K
Blackburn, OK	
Blackduck, MN	$120K
Blackfoot, ID	$240K
Blackgum, OK	$50K
Blackhawk, CA	$2,425K
Blackhawk, SD	$483K
Blacklake, CA	
Blacklick Estates, OH	$195K
Blacksburg, SC	$171K
Blacksburg, VA	$489K
Blackshear, GA	$254K
Blackstone, MA	$340K
Blackwater, MO	
Blackwell, OK	$15K
Blackwell, TX	
Blackwells Mills, NJ	$645K
Blackwood, NJ	$315K
Bladensburg, MD	$70K
Bladensburg, OH	
Blain, PA	
Blaine-Birch Bay, WA	$557K
Blaine, MN	$380K
Blaine, OH	
Blaine, TN	$290K
Blaine, WA	$740K
Blair, NE	$268K
Blair, OK	$117K
Blairs, VA	
Blairstown, IA	$86K
Blairstown, NJ	$440K
Blairsville, IL	
Blairsville, PA	$122K
Blakely, PA	$178K
Blakesburg, IA	$81K
Blanchard, ID	$537K
Blanchard, LA	$240K
Blanchard, OK	$376K
Blanchard, PA	
Blanchester, OH	$205K
Blanco, OK	
Bland, VA	
Blandburg, PA	
Blandford, MA	
Blandinsville, IL	
Blandon, PA	$350K
Blandville, KY	
Blanford, IN	
Blanket, TX	
Blasdell, NY	$140K
Blauvelt, NY	$925K
Blawenburg, NJ	
Blawnox, PA	
Bleecker, NY	
Blende, CO	
Blenheim, NY	
Blenheim, SC	
Blessing, TX	
Blevins, AR	
Bliss Corner, MA	$418K
Blissfield, MI	
Blodgett Landing, NH	
Blodgett Mills, NY	
Blodgett, OR	
Blomkest, MN	
Bloomdale, OH	
Bloomer, WI	
Bloomfield Hills, MI	$575K
Bloomfield, CA	
Bloomfield, KY	$195K
Bloomfield, NM	
Bloomfield, NY	$508K
Bloomfield, PA	
Bloomfield, WI	$173K
Blooming Grove, NY	$370K
Blooming Grove, TX	$158K
Blooming Prairie, MN	$168K
Blooming Valley, PA	
Bloomingburg, OH	$207K
Bloomingdale, FL	$386K
Bloomingdale, GA	$295K
Bloomingdale, IL	$323K
Bloomingdale, IN	
Bloomingdale, NJ	$398K
Bloomingdale, OH	
Bloomingdale, TN	$169K
Bloomington, CA	$515K
Bloomington, IL	$225K
Bloomington, IN	$328K
Bloomington, MN	$340K
Bloomington, TX	
Bloomington, WI	
Bloomingville, OH	
Bloomsburg, PA	$170K
Bloomsbury, NJ	$435K
Bloomville, OH	
Blossom, TX	
Blountsville, AL	$148K
Blountsville, IN	
Blountville, TN	$245K
Blowing Rock, NC	$850K
Blucksberg Mountain, SD	$360K
Blue Ash, OH	$488K
Blue Ball, PA	
Blue Bell, PA	$474K
Blue Clay Farms, NC	$423K
Blue Diamond, NV	
Blue Grass, IA	$404K
Blue Hills, CT	$210K
Blue Island, IL	$155K
Blue Jay, OH	
Blue Knob, PA	
Blue Lake, CA	
Blue Mound, IL	$99K
Blue Mound, KS	
Blue Mound, TX	$209K
Blue Mounds, WI	
Blue Point, NY	$672K
Blue Ridge Manor, KY	$296K
Blue Ridge Summit, PA	
Blue Ridge, AL	$292K
Blue Ridge, AZ	$755K
Blue Ridge, TX	$189K
Blue Ridge, VA	$678K
Blue River, CO	$1,800K
Blue River, WI	$61K
Blue Sky, CO	
Blue Springs, MO	$300K
Blue Springs, NE	
Blue Summit, MO	
Blue Valley, CO	
Blue, OK	
Bluefield, VA	$27K
Bluewater Acres, NM	
Bluewater Village, NM	
Bluewater, NM	
Bluff City, TN	$345K
Bluff Dale, TX	
Bluffdale, UT	$530K
Bluffs, IL	
Bluffton, IN	$212K
Bluffton, MN	
Bluffton, OH	$163K
Bluffton, SC	$525K
Bluffview, WI	
Bluford, IL	
Blunt, SD	
Bly, OR	
Blyn, WA	
Blythe, CA	$197K
Blythe, GA	$279K
Blytheville, AR	$140K
Boalsburg, PA	$421K
Boardman, OH	$150K
Boardman, OR	$322K
Boaz, AL	$205K
Boca Raton, FL	$630K
Bock, MN	
Bodega Bay, CA	$1,075K
Bodega, CA	
Bodfish, CA	$190K
Boerne, TX	$550K
Bogalusa, LA	$85K
Bogota, NJ	$475K
Bogota, TN	
Bogue Chitto, MS	
Bogue, NC	
Bogus Hill, CT	
Bohemia, NY	$575K
Bohners Lake, WI	$308K
Boiling Spring Lakes, NC	$325K
Boiling Springs, NC	$240K
Boiling Springs, PA	$437K
Boiling Springs, SC	$265K
Boise, ID	$485K
Boissevain, VA	
Bokchito, OK	
Bokeelia, FL	$433K
Bolckow, MO	
Boles Acres, NM	
Boligee, AL	
Bolinas, CA	
Bolindale, OH	$65K
Boling, TX	
Bolingbroke, GA	$369K
Bolingbrook, IL	$320K
Bolivar Peninsula, TX	$450K
Bolivar, MO	$212K
Bolivar, OH	$215K
Bolivar, PA	
Bolivar, WV	
Bolivia, NC	$333K
Bolton Landing, NY	$439K
Bolton Ma, MA	$736K
Bolton Valley, VT	
Bolton, MS	
Bolton, NY	$798K
Bolton, OH	
Bolton, VT	
Bombay Beach, CA	
Bombay, NY	
Bon Air, AL	
Bon Air, VA	$368K
Bon Secour, AL	
Bonadelle Ranchos-Madera Ranchos, CA	$460K
Bonadelle Ranchos, CA	$486K
Bonanza Mountain Estates, CO	$819K
Bonanza, AR	
Bonanza, GA	$235K
Bonanza, OR	
Bond, MS	
Bondsville, MA	
Bonduel, WI	
Bondurant, IA	$314K
Bondville, IL	
Bonfield, IL	
Bonham, TX	$195K
Bonita Springs, FL	$630K
Bonita, CA	$1,134K
Bonne Terre, MO	$170K
Bonneau Beach, SC	$425K
Bonneau, SC	$425K
Bonneauville, PA	$245K
Bonner Springs, KS	$324K
Bonner-West Riverside, MT	
Bonney Lake, WA	$583K
Bonney, TX	
Bonnie Brae, IL	$189K
Bonnie, IL	
Bonny Doon, CA	$1,000K
Bono, AR	$158K
Bonsall, CA	$998K
Boody, IL	
Boon, MI	
Boone, CO	
Boone, IA	$153K
Boone, NC	$433K
Boones Mill, VA	
Booneville, MS	
Boonsboro, MD	$322K
Boonton, NJ	$492K
Boonville, CA	
Boonville, IN	$175K
Boonville, MO	$235K
Boonville, NC	$257K
Boonville, NY	
Boothville, LA	$30K
Boothwyn, PA	$400K
Borden, IN	$240K
Bordentown, NJ	$321K
Borger, TX	$147K
Boring, OR	
Boron, CA	$225K
Boronda, CA	
Borrego Springs, CA	$405K
Boscobel, WI	$118K
Bossier City, LA	$221K
Bostic, NC	$383K
Boston Heights, OH	
Boston, GA	
Boston, IN	
Boston, KY	
Boston, MA	$773K
Boston, NY	$263K
Boston, PA	
Bostonia, CA	$773K
Bostwick, GA	$160K
Boswell, IN	$110K
Boswell, PA	$114K
Boswell's Corner, VA	
Bothell East, WA	$900K
Bothell West, WA	$1,020K
Bothell, WA	$950K
Botines, TX	
Botkins, OH	$202K
Botsford, CT	
Boulder Canyon, SD	$875K
Boulder City, NV	$457K
Boulder Creek, CA	$900K
Boulder Hill, IL	$230K
Boulder, CO	$988K
Boulder, MT	
Boulevard Gardens, FL	
Boulevard Park, WA	$576K
Boulevard, CA	
Bound Brook, NJ	$402K
Bountiful, UT	$555K
Bourbon, IN	
Bourbonnais, IL	$257K
Bourg, LA	$302K
Bourne, MA	$760K
Bourneville, OH	
Bouton, IA	
Boutte, LA	
Bovey, MN	$85K
Bovill, ID	
Bovina, MS	
Bow Mar, CO	$3,300K
Bow, WA	
Bowdle, SD	$172K
Bowdoinham, ME	$372K
Bowdon, GA	$175K
Bowen, IL	
Bowers, DE	
Bowers, PA	
Bowersville, OH	
Bowie, AZ	
Bowie, MD	$460K
Bowler, WI	
Bowles, CA	
Bowleys Quarters, MD	$315K
Bowling Green, FL	$208K
Bowling Green, KY	$255K
Bowling Green, MD	$105K
Bowling Green, OH	$345K
Bowman, AR	
Bowman, SC	$195K
Bowman, TN	
Bowmans Addition, MD	$40K
Bowmanstown, PA	$175K
Bowmansville, PA	$330K
Box Canyon, TX	
Box Elder, SD	$339K
Box, OK	$170K
Boxborough, MA	$434K
Boxford, MA	$1,181K
Boxholm, IA	
Boy River, MN	
Boyce, LA	
Boyce, VA	$528K
Boyceville, WI	$167K
Boyd, MT	
Boyd, TX	$565K
Boyd, WI	
Boyertown, PA	$251K
Boyes Hot Springs, CA	$775K
Boykins, VA	$225K
Boylston, MA	$685K
Boylston, NY	
Boynton Beach, FL	$330K
Boynton, OK	
Bozeman, MT	$647K
Braceville, IL	$183K
Brackenridge, PA	$146K
Bradbury, CA	
Braddock Heights, MD	$375K
Braddock Hills, PA	
Braddock, PA	
Braddock, VA	$969K
Braden, TN	
Bradenton Beach, FL	$1,325K
Bradenton, FL	$403K
Bradenville, PA	
Bradford Woods, PA	$1,085K
Bradford, AR	$135K
Bradford, IL	
Bradford, NH	$398K
Bradford, NY	
Bradford, OH	$217K
Bradford, PA	$129K
Bradford, RI	$400K
Bradford, TN	
Bradford, VT	$262K
Bradfordville, FL	$491K
Bradley Beach, NJ	$705K
Bradley Gardens, NJ	$540K
Bradley Junction, FL	$200K
Bradley, CA	
Bradley, IL	$165K
Bradley, ME	
Bradley, OK	
Bradley, SC	
Bradner, OH	$70K
Brady Lake, OH	$330K
Brady, NE	
Brady, WA	$500K
Braggs, OK	
Braham, MN	$280K
Braidwood, IL	$190K
Brainards, NJ	$127K
Brainerd, MN	$250K
Braintree Town, MA	$539K
Braintree, MA	$539K
Braman, OK	
Brambleton, VA	$790K
Branch, AR	
Branch, LA	
Branchdale, PA	
Branchville, CT	
Branchville, NJ	$350K
Branchville, SC	
Branchville, VA	
Brandenburg, KY	$197K
Brandermill, VA	$407K
Brandon, FL	$353K
Brandon, MN	
Brandon, MS	$266K
Brandon, NY	
Brandon, SD	$334K
Brandon, VT	$414K
Brandon, WI	$340K
Brandonville, PA	
Brandsville, MO	
Brandt, OH	
Brandy Station, VA	
Brandywine Bay, NC	
Brandywine, MD	$617K
Branford Center, CT	$400K
Bransford, TN	
Branson, MO	$247K
Brant, NY	
Brantleyville, AL	
Braselton, GA	$503K
Brashear, MO	
Brasher, NY	
Brass Castle, NJ	$335K
Braswell, GA	
Bratenahl, OH	$428K
Brawley, CA	$441K
Braxton, MS	
Bray, OK	
Braymer, MO	
Brazil, IN	$129K
Brazoria, TX	$185K
Brazos Bend, TX	$313K
Brazos Country, TX	$735K
Brazos, TX	
Brea, CA	$990K
Breathedsville, MD	
Breaux Bridge, LA	$302K
Breckenridge Hills, MO	$71K
Breckenridge, CO	$888K
Breckenridge, MI	$95K
Breckenridge, MN	
Breckenridge, MO	
Brecksville, OH	$409K
Brecon, OH	
Breda, IA	
Breese, IL	$145K
Breesport, NY	
Breezy Point, MN	$465K
Breinigsville, PA	$299K
Bremen, GA	$363K
Bremen, IN	$202K
Bremen, KY	
Bremen, OH	$95K
Bremerton, WA	$431K
Bremond, TX	
Brenham, TX	$315K
Brent, AL	$150K
Brent, FL	$188K
Brent, OK	
Brentsville, VA	
Brentwood, CA	$883K
Brentwood, MD	$425K
Brentwood, MO	$228K
Brentwood, NY	$510K
Brentwood, PA	$159K
Brentwood, TN	$1,240K
Bressler, PA	$165K
Bret Harte, CA	$330K
Brevard, NC	$400K
Brewer, ME	$210K
Brewerton, NY	$415K
Brewster Heights, NY	
Brewster Hill, NY	$455K
Brewster, MA	$780K
Brewster, MN	
Brewster, NY	$505K
Brewster, OH	
Brewton, AL	$209K
Brian Head, UT	$486K
Briar Chapel, NC	$543K
Briar Creek, PA	
Briar, TX	$535K
Briarcliff Manor, NY	$746K
Briarcliff, AR	
Briarcliff, TX	$543K
Briarcliffe Acres, SC	$740K
Briaroaks, TX	
Briartown, OK	
Briarwood Estates, MO	$352K
Briarwood, KY	
Brice Prairie, WI	$282K
Brice, OH	$241K
Brices Creek, NC	$409K
Briceville, TN	
Brick Center, CO	
Brickerville, PA	$529K
Bridge City, LA	$174K
Bridge City, TX	$196K
Bridge Creek, OK	
Bridgehampton, NY	
Bridgeport, AL	$73K
Bridgeport, CT	$328K
Bridgeport, KS	
Bridgeport, MI	$92K
Bridgeport, NJ	
Bridgeport, NY	$142K
Bridgeport, OH	$89K
Bridgeport, PA	$345K
Bridgeport, TX	$209K
Bridgeport, WA	$182K
Bridger, MT	
Bridgeton, MO	$176K
Bridgeton, NC	$768K
Bridgeton, NJ	$160K
Bridgetown, MS	$364K
Bridgetown, OH	$200K
Bridgeview, IL	$245K
Bridgeville, NJ	
Bridgeville, PA	$205K
Bridgewater Center, NJ	$629K
Bridgewater Town, MA	$405K
Bridgewater, CT	
Bridgewater, MA	$252K
Bridgewater, NJ	$578K
Bridgewater, NY	
Bridgewater, PA	$140K
Bridgewater, SD	
Bridgewater, VA	$453K
Bridgman, MI	$350K
Bridgton, ME	
Brielle, NJ	$970K
Brier, WA	$1,075K
Brigantine, NJ	$538K
Briggs, OK	
Briggsdale, CO	$250K
Brigham City, UT	$399K
Bright, IN	$335K
Brighton, AL	
Brighton, CO	$495K
Brighton, IA	$75K
Brighton, IL	$119K
Brighton, MI	$350K
Brighton, NY	$465K
Brighton, TN	$225K
Brighton, UT	$1,463K
Brightwaters, NY	$630K
Brightwood, VA	
Brilliant, OH	$97K
Brillion, WI	$228K
Brimfield, IL	$120K
Brimfield, MA	$465K
Brimfield, OH	$276K
Brinckerhoff, NY	$845K
Bringhurst, IN	
Brinson, GA	
Briny Breezes, FL	
Brisbane, CA	$1,330K
Brisbin, PA	
Bristol, CT	$250K
Bristol, IN	
Bristol, MD	
Bristol, NH	$270K
Bristol, NY	$220K
Bristol, PA	$303K
Bristol, RI	$450K
Bristol, TN	$223K
Bristol, TX	
Bristol, VA	$210K
Bristol, WI	$455K
Bristow Cove, AL	
Bristow, OK	$314K
Bristow, VA	$615K
Brittany Farms-the Highlands, PA	$296K
Britton, MI	$239K
Broad Brook, CT	$263K
Broad Creek, NC	$320K
Broadalbin, NY	$283K
Broadland, SD	
Broadlands, IL	$205K
Broadlands, VA	$1,045K
Broadmoor, CA	$1,015K
Broadview Heights, OH	$265K
Broadview Park, FL	$420K
Broadview, IL	$240K
Broadview, MT	$207K
Broadview, NM	$144K
Broadway, NC	$585K
Broadway, NJ	
Broadway, VA	$337K
Broadwell, IL	
Brock Hall, MD	$550K
Brockport, NY	$149K
Brockton, MA	$448K
Brocton, NY	$48K
Brodhead, WI	$290K
Brodheadsville, PA	
Broeck Pointe, KY	
Brogan, OR	
Brogden, NC	$263K
Brokaw, WI	
Broken Arrow, OK	$295K
Bromley, KY	$132K
Bronson, FL	$273K
Bronson, IA	
Bronson, MI	$169K
Bronwood, GA	
Bronxville, NY	$999K
Brook Forest, CO	$1,100K
Brook Highland, AL	$340K
Brook Park, OH	$200K
Brook, IN	
Brookdale, CA	$1,050K
Brookdale, NJ	$664K
Brookdale, SC	$128K
Brookeville, MD	$1,030K
Brookfield Center, CT	$285K
Brookfield Center, OH	$203K
Brookfield Ma, MA	$488K
Brookfield, IL	$338K
Brookfield, MA	$400K
Brookfield, NJ	$240K
Brookfield, NY	
