County,County Population,Predominant City,State,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Hartford County,814659,Hartford,Connecticut,2799,$73968,36%,38,$276640,1827,$153,55,64%,$1288,52%,239,1799,15%,5%,65%,59%,36%,4%,14%,51%,17%,15%,Eastern Standard Time,85,37,48,49,47,7,62,3,41.772064595746556,-72.73370553570132,58%,63%,57%,53%,52%,19,38,59,65,20,13.77,11.66,35%,37%,35%,14
Fairfield County,807062,Bridgeport,Connecticut,3676,$94716,45%,38,$555563,2014,$261,55,63%,$1754,49%,206,1345,10%,6%,68%,57%,38%,5%,13%,47%,21%,25%,Eastern Standard Time,85,38,46,49,35,7,57,3,41.20182476793951,-73.35659980287797,58%,63%,57%,59%,60%,20,41,61,66,22,13.41,11.83,35%,36%,35%,12
Ventura County,806498,Oxnard,California,4592,$89022,32%,38,$808728,1702,$477,43,62%,$2023,49%,217,1558,8%,4%,65%,54%,37%,7%,1%,42%,42%,22%,Pacific Standard Time,81,67,14,12,0,3,63,6,34.242117640298424,-119.0442103045653,72%,77%,70%,57%,62%,3,50,57,58,44,0.09,7.44,9%,1%,19%,0
Suffolk County,800995,Boston,Massachusetts,14003,$74695,47%,32,$729943,1282,$573,77,38%,$1668,65%,N/A,N/A,17%,6%,69%,78%,16%,9%,21%,43%,22%,29%,Eastern Standard Time,83,38,45,45,48,6,43,3,42.342251444511014,-71.01436598463236,58%,66%,54%,57%,57%,17,39,59,67,24,11.62,11.63,35%,33%,38%,18
El Paso County,793228,El Paso,Texas,2472,$48203,24%,32,$229082,1697,$135,36,63%,$855,51%,342,1484,19%,6%,62%,68%,25%,1%,3%,12%,82%,23%,Mountain Standard Time,98,58,39,10,2,N/A,66,6,31.829334503577044,-106.41007471908803,83%,85%,80%,27%,26%,35,35,51,71,33,4.29,1.61,13%,22%,11%,0
Multnomah County,791944,Portland,Oregon,4785,$71096,45%,37,$520112,1727,$301,53,58%,$1308,56%,529,4898,13%,5%,70%,73%,17%,7%,5%,68%,11%,13%,Pacific Standard Time,81,45,36,43,5,7,22,3,45.53240706962209,-122.61184066412184,50%,67%,30%,59%,46%,7,44,52,57,36,2.76,16.93,44%,18%,60%,2
Jefferson County,765292,Louisville,Kentucky,8702,$51868,33%,41,$253476,1644,$154,48,57%,$1061,54%,136,2722,7%,4%,67%,54%,40%,2%,21%,75%,4%,8%,Eastern Standard Time,88,43,44,52,13,7,50,4,38.22797727863876,-85.71799831026746,55%,65%,46%,56%,55%,45,45,65,70,27,13.27,11.57,34%,32%,37%,9
San Mateo County,748123,Daly City,California,7412,$131887,52%,39,$1692745,1711,$957,55,61%,$2480,46%,233,1983,6%,3%,68%,75%,18%,29%,2%,38%,24%,35%,Pacific Standard Time,75,58,17,18,0,7,65,4,37.57048693870446,-122.32917918127167,67%,69%,60%,69%,69%,2,47,51,55,42,0.24,10.44,19%,6%,34%,0
Kern County,740124,Bakersfield,California,2382,$59092,18%,32,$355516,1642,$216,34,59%,$1039,50%,461,3454,19%,9%,58%,40%,53%,5%,5%,33%,51%,19%,Pacific Standard Time,98,58,39,8,0,6,52,5,35.37780399181407,-118.92536252501499,72%,79%,66%,37%,23%,3,45,51,69,36,0.15,4.31,9%,0%,18%,0
Worcester County,736006,Worcester,Massachusetts,2096,$72094,35%,38,$422816,1816,$234,57,63%,$1246,51%,221,1290,14%,4%,64%,51%,40%,5%,6%,66%,12%,15%,Eastern Standard Time,82,34,48,50,64,7,70,3,42.3029844815913,-71.80103448600882,57%,62%,54%,56%,56%,22,35,56,62,17,13.34,12.02,37%,38%,37%,20
Bucks County,730715,Bensalem,Pennsylvania,7596,$85045,38%,42,$393129,1801,$215,45,76%,$1281,43%,N/A,N/A,8%,4%,68%,48%,47%,4%,4%,82%,5%,6%,Eastern Standard Time,86,39,46,51,26,7,57,4,40.229073703794924,-75.00474802355308,55%,62%,50%,54%,53%,28,41,61,65,22,15.08,11.42,35%,36%,36%,9
Baltimore County,726620,Dundalk,Maryland,3781,$76620,38%,38,$315747,1686,$186,50,65%,$1343,54%,N/A,N/A,9%,5%,66%,55%,38%,6%,32%,52%,5%,12%,Eastern Standard Time,88,43,45,50,23,7,50,4,39.35332586715093,-76.62125582227532,55%,61%,52%,53%,53%,26,43,63,71,27,14.67,10.36,35%,36%,36%,8
Essex County,726046,Lynn,Massachusetts,4220,$81339,38%,40,$578421,1729,$335,64,64%,$1365,51%,101,695,11%,5%,67%,57%,35%,3%,4%,64%,22%,19%,Eastern Standard Time,82,36,45,48,55,6,62,3,42.62151965677464,-70.98460056289377,58%,66%,54%,57%,57%,17,39,59,63,19,12.32,11.98,34%,34%,34%,18
Denton County,719856,Denton,Texas,2599,$90793,42%,35,$453749,2187,$206,25,66%,$1416,46%,153,1372,8%,4%,72%,37%,57%,8%,9%,56%,22%,16%,Central Standard Time,96,56,40,39,2,N/A,50,5,33.10338678468208,-97.02580502933347,61%,71%,56%,54%,50%,45,51,67,75,34,8.51,7.51,19%,16%,19%,0
Denver County,715878,Denver,Colorado,4677,$72661,50%,35,$577000,1603,$360,50,54%,$1397,60%,748,3743,11%,4%,72%,73%,18%,3%,9%,54%,29%,14%,Mountain Standard Time,90,45,45,14,46,8,31,4,39.7619783,-104.8757688,69%,71%,70%,43%,36%,41,29,47,60,17,4.82,1.67,22%,27%,18%,27
Hidalgo County,711919,McAllen,Texas,2338,$44563,20%,30,$214837,1660,$128,24,67%,$760,48%,365,3213,26%,7%,58%,68%,27%,1%,0%,6%,91%,25%,Central Standard Time,99,71,27,26,0,N/A,77,6,26.221082391513587,-98.19192240311354,59%,77%,42%,60%,56%,26,64,73,78,49,8.85,3.45,16%,15%,17%,0
Kent County,708321,Grand Rapids,Michigan,5960,$62199,35%,36,$287826,1488,$191,45,70%,$1080,48%,482,1867,11%,4%,70%,44%,47%,3%,11%,73%,10%,9%,Eastern Standard Time,83,31,52,42,74,8,65,3,42.9738541245259,-85.60064803956682,46%,63%,28%,62%,56%,34,38,58,60,17,11.35,8.48,42%,33%,54%,46
Snohomish County,707575,Everett,Washington,3753,$93030,33%,38,$715978,1886,$378,32,68%,$1600,45%,219,2616,7%,4%,67%,52%,36%,11%,3%,67%,10%,17%,Pacific Standard Time,75,44,30,43,4,7,40,2,47.92288508747751,-122.18832966700572,45%,60%,27%,63%,50%,6,42,51,55,34,4.09,15.39,48%,25%,61%,1
District of Columbia County,701974,Washington,District of Columbia,11483,$90842,59%,34,$650000,1285,$506,66,45%,$1607,69%,977,4245,15%,7%,70%,92%,5%,4%,45%,36%,11%,13%,Eastern Standard Time,90,45,45,47,13,7,27,4,38.9047747,-77.0163024,55%,61%,52%,53%,53%,26,43,63,72,28,14.03,9.43,32%,32%,33%,7
Davidson County,683831,Nashville-Davidson,Tennessee,1357,$49707,53%,43,$480118,1810,$258,38,49%,$1813,56%,438,4037,8%,3%,65%,59%,33%,2%,12%,75%,10%,5%,Central Standard Time,89,48,41,56,3,7,45,4,36.17368869156984,-86.78278474049188,55%,60%,46%,57%,57%,56,48,67,67,28,13.46,14.7,33%,33%,37%,4
Lee County,681780,Cape Coral,Florida,1864,$59637,26%,47,$412937,1648,$251,25,69%,$1257,48%,249,1455,12%,5%,54%,37%,58%,1%,8%,64%,23%,17%,Eastern Standard Time,92,75,17,56,0,7,67,6,26.58705135163206,-81.84885118808252,69%,68%,65%,55%,60%,80,63,72,74,54,29.66,5.89,36%,64%,22%,0
San Joaquin County,679568,Stockton,California,4263,$72571,19%,34,$511473,1693,$298,37,57%,$1415,50%,858,3102,13%,7%,61%,53%,39%,17%,7%,29%,41%,23%,Pacific Standard Time,95,57,37,13,0,7,51,5,37.919263837763694,-121.31333472891203,75%,91%,52%,45%,28%,3,46,51,61,39,0.19,7.04,14%,1%,28%,0
Hudson County,673692,Jersey City,New Jersey,24337,$76805,43%,35,$572369,1302,$457,59,33%,$1515,53%,214,1074,14%,5%,69%,74%,22%,15%,12%,28%,43%,42%,Eastern Standard Time,87,40,47,51,31,7,30,3,40.737157351287244,-74.05904386443956,55%,62%,50%,53%,51%,25,41,61,70,26,15.17,12.08,34%,35%,36%,9
Allen County,669703,Fort Wayne,Indiana,2176,$52269,30%,35,$201932,1618,$120,45,65%,$788,51%,N/A,N/A,14%,4%,66%,37%,56%,4%,12%,69%,7%,7%,Eastern Standard Time,84,33,51,40,33,7,68,3,41.096319929348674,-85.12922976729163,60%,75%,47%,61%,55%,36,40,60,63,18,12.42,7.8,38%,35%,42%,31
Monmouth County,646784,Middletown,New Jersey,9632,$102386,46%,42,$684509,1740,$390,46,75%,$1635,45%,314,1632,8%,4%,66%,43%,52%,4%,5%,73%,10%,13%,Eastern Standard Time,86,41,44,51,29,7,67,3,40.29611935327993,-74.14674998583484,54%,61%,49%,53%,51%,25,41,61,66,23,14.68,12.3,39%,40%,38%,11
Tulsa County,645169,Tulsa,Oklahoma,1851,$58205,32%,35,$258795,1885,$136,40,61%,$922,50%,679,4065,14%,5%,66%,35%,58%,3%,10%,60%,13%,9%,Central Standard Time,94,50,44,43,8,7,38,4,36.109269737739105,-95.89020181945445,59%,70%,53%,56%,55%,47,47,67,73,28,13.01,6.13,25%,26%,20%,3
Delaware County,639728,Upper Darby,Pennsylvania,6329,$72789,36%,39,$334153,1691,$184,60,67%,$1214,52%,N/A,N/A,13%,5%,68%,59%,37%,5%,22%,66%,3%,8%,Eastern Standard Time,88,41,47,50,25,7,52,3,39.919925196355486,-75.35136165948668,55%,62%,50%,54%,53%,28,42,62,70,26,15.34,11.26,32%,32%,34%,9
Ocean County,637506,Toms River,New Jersey,2424,$67733,29%,44,$426053,1491,$281,38,75%,$1453,46%,98,1056,10%,4%,55%,31%,64%,1%,2%,85%,7%,7%,Eastern Standard Time,86,42,44,53,25,7,73,4,39.95134426960579,-74.23714019629413,53%,59%,47%,54%,54%,27,42,62,66,24,15.09,12.82,39%,39%,38%,9
Norfolk County,636876,Quincy,Massachusetts,3294,$104595,55%,39,$682696,1674,$417,58,70%,$1901,46%,N/A,N/A,6%,3%,68%,60%,32%,11%,5%,72%,4%,20%,Eastern Standard Time,85,38,46,50,55,6,65,3,42.210013930186406,-71.13731444360567,57%,65%,54%,56%,56%,18,38,58,64,21,12.0,12.94,37%,36%,38%,19
Bernalillo County,635795,Albuquerque,New Mexico,2824,$53767,35%,37,$318531,1706,$184,40,65%,$880,58%,N/A,N/A,16%,5%,62%,52%,34%,2%,2%,37%,50%,9%,Mountain Standard Time,94,49,44,9,8,N/A,60,6,35.10208082399107,-106.64453963844007,76%,78%,73%,29%,25%,39,30,45,54,21,4.01,1.56,15%,23%,12%,5
El Paso County,635536,Colorado Springs,Colorado,2256,$70670,38%,34,$439680,2076,$211,34,63%,$1248,46%,568,3546,10%,6%,68%,33%,56%,2%,6%,67%,18%,7%,Mountain Standard Time,86,43,42,18,38,8,70,5,38.860659077984735,-104.75613950599322,77%,81%,73%,40%,39%,35,27,45,58,17,8.73,1.69,24%,39%,17%,22
Hamilton County,627118,Carmel,Indiana,27567,$96018,58%,36,$384555,2394,$158,21,77%,$1156,37%,N/A,N/A,4%,2%,72%,36%,56%,5%,4%,83%,3%,8%,Eastern Standard Time,84,35,49,46,25,8,66,4,39.99433199571152,-86.051196733789,51%,64%,41%,60%,57%,41,42,63,63,18,13.48,9.31,34%,32%,37%,18
Johnson County,623905,Overland Park,Kansas,2225,$93421,54%,37,$410729,2255,$180,33,74%,$1157,41%,138,1315,4%,3%,72%,44%,46%,5%,4%,79%,7%,8%,Central Standard Time,88,39,48,40,17,8,54,4,38.91086722376965,-94.75736016262525,62%,70%,55%,60%,59%,51,42,64,69,20,14.13,4.41,26%,30%,17%,8
Monroe County,620308,Rochester,New York,3119,$57587,37%,36,$272456,1699,$159,59,60%,$909,56%,N/A,N/A,20%,5%,62%,54%,39%,3%,16%,56%,10%,9%,Eastern Standard Time,82,34,48,36,93,8,71,3,43.14963201737347,-77.63109585261934,48%,64%,33%,61%,55%,27,39,58,62,19,10.83,7.61,46%,36%,60%,58
Arapahoe County,615322,Aurora,Colorado,2927,$78267,39%,36,$520017,2080,$250,37,65%,$1463,49%,627,3281,8%,4%,70%,52%,38%,6%,11%,56%,22%,16%,Mountain Standard Time,89,44,44,16,53,8,48,5,39.66991276493268,-104.7977084357938,69%,71%,70%,43%,36%,41,29,47,59,17,5.32,1.99,23%,28%,17%,27
Utah County,615278,Provo,Utah,2743,$79168,41%,25,$516422,2349,$223,25,71%,$1262,39%,N/A,N/A,10%,3%,69%,14%,50%,1%,0%,81%,11%,7%,Mountain Standard Time,94,38,55,17,61,8,76,4,40.27594388341872,-111.74466261217194,66%,83%,47%,43%,23%,39,33,44,62,20,2.2,5.38,24%,15%,32%,23
Providence County,605327,Providence,Rhode Island,5997,$60123,30%,35,$368714,1821,$204,65,56%,$1001,57%,313,1903,16%,5%,64%,57%,36%,4%,10%,52%,24%,22%,Eastern Standard Time,84,38,45,51,40,7,63,3,41.85739575300491,-71.44731328869221,57%,61%,55%,55%,56%,19,39,59,65,21,11.83,13.18,35%,35%,37%,14
Baltimore County,602274,Baltimore,Maryland,7440,$52164,32%,36,$200000,1361,$147,75,51%,$1094,70%,1858,4311,20%,7%,62%,84%,10%,2%,62%,27%,5%,8%,Eastern Standard Time,91,44,47,45,19,7,42,4,39.3009792,-76.6106471,55%,61%,52%,53%,53%,26,43,63,74,31,13.9,9.36,32%,32%,34%,6
Rockland County,595950,Ramapo,New York,4242,$91129,40%,37,$568735,1876,$303,48,65%,$1685,44%,N/A,N/A,14%,4%,63%,51%,45%,6%,11%,63%,15%,20%,Eastern Standard Time,84,37,47,51,31,7,57,3,41.12679968945952,-74.02423743294317,57%,62%,56%,53%,51%,25,41,61,64,21,14.97,11.81,35%,36%,34%,9
Sedgwick County,595835,Wichita,Kansas,2340,$58786,31%,34,$222181,1926,$115,43,65%,$855,48%,1001,4722,13%,5%,67%,36%,54%,4%,8%,66%,13%,8%,Central Standard Time,92,45,46,36,12,8,58,4,37.67625229850781,-97.34539610833335,64%,73%,59%,55%,51%,53,43,62,70,22,13.73,3.48,23%,28%,16%,6
Jefferson County,591747,Birmingham,Alabama,1435,$63979,37%,37,$294534,1991,$145,45,64%,$1000,53%,133,2243,15%,6%,61%,51%,44%,1%,43%,48%,4%,4%,Central Standard Time,91,55,36,58,1,6,32,5,33.51022226281705,-86.79613889291842,58%,63%,49%,55%,57%,58,51,68,71,34,14.48,17.23,31%,34%,36%,0
Lancaster County,589181,Lancaster,Pennsylvania,5109,$61609,26%,39,$276314,1683,$163,44,67%,$1166,42%,N/A,N/A,11%,3%,66%,37%,56%,2%,5%,86%,10%,6%,Eastern Standard Time,86,39,47,46,26,7,56,3,40.07665622123105,-76.29141099860304,55%,61%,51%,54%,54%,30,41,62,65,22,14.24,9.38,35%,37%,35%,9
Bristol County,578312,New Bedford,Massachusetts,1940,$68169,28%,39,$467933,1784,$263,57,64%,$953,51%,242,1004,14%,5%,63%,51%,41%,2%,4%,74%,8%,15%,Eastern Standard Time,83,38,44,50,39,7,74,3,41.78939887556493,-71.1017293148458,57%,61%,54%,55%,56%,19,39,59,63,21,11.68,12.79,37%,35%,37%,12
Union County,555200,Elizabeth,New Jersey,15010,$84433,35%,37,$511834,1572,$336,64,59%,$1407,50%,520,2402,10%,5%,68%,65%,30%,4%,20%,31%,31%,33%,Eastern Standard Time,88,40,47,50,31,7,39,3,40.65905420884871,-74.28760942516534,55%,62%,50%,53%,51%,25,41,61,68,24,15.36,11.56,34%,36%,34%,11
Chester County,546582,Tredyffrin,Pennsylvania,2974,$94696,53%,35,$444493,2128,$202,38,72%,$1444,42%,N/A,N/A,10%,3%,70%,51%,42%,6%,6%,67%,7%,11%,Eastern Standard Time,86,39,46,50,27,7,63,4,39.995136093225,-75.67380176621624,55%,61%,50%,54%,54%,29,42,62,65,22,15.56,11.1,35%,36%,37%,12
Washington County,531674,Hillsboro,Oregon,4880,$88518,45%,36,$578003,1845,$312,32,62%,$1454,46%,214,2051,8%,4%,70%,56%,30%,11%,2%,63%,17%,18%,Pacific Standard Time,82,46,35,40,1,7,38,3,45.486450928049706,-122.86227307995068,50%,67%,30%,59%,46%,7,44,52,55,36,2.35,16.34,44%,17%,60%,0
Anne Arundel County,525538,Glen Burnie,Maryland,3100,$104011,42%,38,$448128,1893,$236,38,73%,$1690,46%,641,2352,5%,4%,70%,47%,45%,4%,17%,65%,8%,8%,Eastern Standard Time,88,44,44,48,19,7,52,4,39.0809093174661,-76.60526384035656,55%,61%,52%,53%,53%,26,43,63,70,27,14.55,9.69,33%,35%,33%,6
Camden County,521014,Camden,New Jersey,6291,$73470,33%,38,$255694,1477,$168,55,67%,$1267,52%,101,2390,14%,5%,65%,64%,31%,6%,18%,54%,16%,11%,Eastern Standard Time,88,41,46,50,26,7,45,3,39.875165200091736,-75.02056425485688,55%,62%,50%,54%,53%,28,42,62,67,24,14.98,11.47,34%,34%,36%,8
Morris County,509274,Parsippany-Troy Hills,New Jersey,2504,$111447,52%,41,$575424,2010,$290,50,72%,$1739,42%,63,553,5%,3%,69%,45%,49%,10%,3%,69%,13%,19%,Eastern Standard Time,86,38,47,52,32,7,66,3,40.86053986299399,-74.50817019902233,53%,62%,47%,53%,51%,25,41,61,64,20,15.4,11.83,36%,40%,34%,11
Passaic County,508747,Paterson,New Jersey,10570,$72403,28%,36,$430505,1669,$261,64,52%,$1356,52%,106,1400,17%,6%,65%,59%,37%,5%,11%,32%,41%,35%,Eastern Standard Time,86,39,47,51,31,7,49,3,40.92400736659971,-74.19392728856877,54%,62%,48%,53%,51%,25,41,61,67,23,15.16,11.68,35%,38%,34%,9
Montgomery County,496360,Dayton,Ohio,2294,$51672,26%,38,$203091,1632,$119,57,61%,$826,53%,N/A,N/A,17%,6%,62%,47%,47%,1%,20%,71%,3%,4%,Eastern Standard Time,85,37,48,42,26,8,52,3,39.74738411459788,-84.22223465183977,53%,66%,41%,60%,55%,38,41,61,65,20,11.58,9.17,36%,34%,39%,23
Polk County,495696,Des Moines,Iowa,2007,$73025,39%,35,$264040,1375,$189,40,69%,$970,49%,522,3221,10%,4%,72%,51%,40%,5%,6%,76%,8%,9%,Central Standard Time,85,30,54,39,38,N/A,65,4,41.61441670637568,-93.65534791351696,58%,71%,49%,60%,58%,48,39,61,66,13,14.84,4.23,31%,33%,26%,23
Douglas County,493734,Omaha,Nebraska,3374,$62247,38%,35,$258194,1785,$144,48,63%,$947,52%,N/A,N/A,11%,4%,69%,47%,45%,3%,11%,66%,13%,10%,Central Standard Time,88,33,54,35,26,N/A,62,3,41.26252154125541,-96.05564438581766,61%,73%,53%,59%,57%,45,40,62,67,15,13.47,3.84,30%,33%,24%,19
York County,490477,York,Pennsylvania,7142,$63051,22%,39,$232456,1773,$131,44,72%,$1037,45%,N/A,N/A,13%,4%,66%,32%,61%,1%,7%,83%,7%,5%,Eastern Standard Time,86,39,46,47,28,7,58,3,39.93404413460203,-76.75403780429889,55%,61%,52%,53%,53%,29,41,62,65,22,13.85,9.58,35%,36%,34%,10
Dane County,483920,Madison,Wisconsin,2303,$66259,53%,38,$388998,1837,$213,37,57%,$1263,52%,265,2083,6%,2%,71%,70%,23%,6%,5%,83%,6%,9%,Central Standard Time,82,27,55,41,55,8,62,3,43.050415930670354,-89.3888856698727,52%,64%,45%,60%,57%,40,37,58,61,11,15.17,5.57,34%,34%,31%,34
Berks County,481291,Reading,Pennsylvania,5359,$63769,23%,38,$238730,1730,$136,51,71%,$1005,48%,N/A,N/A,15%,5%,65%,42%,52%,1%,5%,59%,20%,9%,Eastern Standard Time,87,38,48,51,27,7,53,3,40.35987300110847,-75.90846923408374,54%,62%,49%,55%,54%,29,40,60,66,22,16.15,10.69,37%,39%,38%,12
Stanislaus County,481177,Modesto,California,4754,$63045,17%,34,$429951,1569,$275,38,58%,$1252,50%,589,2851,13%,8%,61%,46%,45%,6%,3%,39%,47%,20%,Pacific Standard Time,95,56,38,11,0,7,53,5,37.614692994375034,-120.96529166273787,76%,94%,51%,45%,28%,3,46,51,64,39,0.13,6.16,13%,0%,28%,0
Richmond (Staten Island) County,475948,Staten Island,New York,8154,$74043,N/A%,N/A,N/A,N/A,N/A,45,63%,N/A,46%,N/A,N/A,N/A%,4%,N/A%,41%,56%,N/A%,N/A%,N/A%,18%,N/A%,Eastern Standard Time,N/A,N/A,N/A,N/A,N/A,N/A,44,3,N/A,N/A,N/A%,N/A%,N/A%,N/A%,N/A%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A%,N/A%,N/A%,N/A
Jefferson County,469608,Lakewood,Colorado,3269,$86370,45%,39,$594557,2071,$287,42,71%,$1520,48%,213,3248,7%,3%,69%,48%,42%,2%,1%,76%,16%,6%,Mountain Standard Time,86,44,42,18,78,8,63,5,39.72050595461833,-105.13639531081797,69%,71%,70%,43%,36%,41,29,47,58,18,5.04,2.73,24%,31%,19%,30
St. Joseph County,469475,South Bend,Indiana,6511,$49234,35%,34,$207052,1709,$118,51,60%,$865,54%,N/A,N/A,18%,4%,64%,46%,46%,3%,13%,65%,9%,7%,Eastern Standard Time,82,32,50,42,56,N/A,71,3,41.67387142715907,-86.22865131958422,59%,74%,46%,61%,56%,41,40,60,62,17,12.67,8.16,41%,36%,47%,35
Onondaga County,462211,Syracuse,New York,2831,$57270,33%,36,$197245,1526,$128,57,61%,$881,54%,0,580,21%,5%,59%,53%,40%,3%,12%,64%,5%,10%,Eastern Standard Time,82,32,49,45,117,8,68,3,43.08054227884321,-76.17754670307285,44%,57%,32%,60%,55%,26,38,58,61,16,13.12,10.18,47%,39%,59%,60
Burlington County,458980,Evesham,New Jersey,2187,$85995,38%,40,$318975,1659,$191,44,69%,$1538,47%,90,1205,7%,4%,65%,55%,40%,4%,16%,66%,8%,7%,Eastern Standard Time,87,41,46,49,25,7,58,3,39.97209117933722,-74.84055928927536,54%,61%,49%,54%,53%,28,42,62,66,24,14.84,11.28,34%,34%,35%,9
Summit County,454413,Akron,Ohio,2167,$60011,30%,40,$196251,1470,$127,56,65%,$914,52%,826,3240,15%,6%,64%,51%,43%,3%,15%,73%,2%,5%,Eastern Standard Time,84,36,48,36,50,8,60,3,41.095028467394215,-81.5304268054477,47%,64%,31%,60%,56%,37,39,59,63,20,11.47,6.97,38%,36%,40%,38
Guilford County,453221,Greensboro,North Carolina,2048,$54098,37%,36,$276146,1740,$158,35,57%,$898,56%,783,3547,16%,6%,64%,58%,38%,5%,37%,45%,8%,11%,Eastern Standard Time,89,50,38,47,7,6,55,4,36.071692283285195,-79.86831203276766,60%,62%,55%,52%,55%,41,46,65,69,30,14.49,9.74,30%,32%,31%,1
Hampden County,452121,Springfield,Massachusetts,2543,$57358,26%,37,$281220,1498,$189,62,61%,$956,56%,285,1308,17%,6%,59%,54%,38%,2%,9%,55%,26%,9%,Eastern Standard Time,85,35,49,50,46,7,53,3,42.12952800766167,-72.57386977669054,58%,63%,57%,53%,52%,20,37,58,62,17,14.45,11.37,36%,40%,34%,16
Virginia Beach County,450882,Virginia Beach,Virginia,1842,$78136,37%,36,$328000,1624,$202,37,66%,$1380,46%,129,1760,7%,4%,70%,44%,48%,7%,18%,61%,8%,9%,Eastern Standard Time,89,51,38,50,6,7,58,4,36.8529263,-75.977985,61%,65%,57%,57%,59%,34,48,66,72,33,15.6,9.45,32%,33%,32%,2
McHenry County,450320,Grafton township,Illinois,4223,$88071,35%,40,$287699,1846,$155,29,78%,$1339,42%,82,1030,6%,4%,69%,42%,49%,3%,1%,77%,13%,10%,Central Standard Time,83,31,52,41,46,8,74,3,42.25007613873512,-88.35708771933626,52%,65%,39%,60%,56%,38,38,58,62,14,14.05,6.44,35%,35%,34%,27
Volusia County,448055,Deltona,Florida,1790,$52844,24%,45,$346285,1598,$216,35,68%,$1133,52%,431,2731,13%,4%,53%,41%,54%,2%,12%,68%,15%,8%,Eastern Standard Time,90,69,21,50,0,7,65,6,29.072147103131087,-81.12104303424357,65%,65%,60%,60%,64%,73,61,71,74,48,20.79,7.19,33%,50%,26%,0
Fort Bend County,433791,Sugar Land,Texas,3187,$97271,42%,38,$365041,2401,$151,27,77%,$1556,41%,6,862,8%,5%,65%,51%,44%,20%,20%,30%,25%,28%,Central Standard Time,94,63,31,53,0,7,63,5,29.601440459293062,-95.65360122336077,55%,65%,47%,59%,57%,60,58,71,75,43,16.3,10.01,29%,30%,31%,0
Solano County,430808,Vallejo,California,3470,$85152,26%,38,$579437,1650,$351,38,62%,$1703,49%,465,2956,8%,5%,63%,60%,30%,15%,13%,36%,26%,19%,Pacific Standard Time,90,57,32,20,0,6,60,5,38.23480132383847,-122.07155628254581,73%,86%,54%,53%,43%,3,46,51,58,40,0.19,11.81,15%,1%,29%,0
Prince William County,429706,Dale City,Virginia,4097,$103901,39%,34,$459153,2157,$216,30,70%,$1839,44%,102,641,6%,4%,74%,57%,36%,9%,22%,38%,27%,28%,Eastern Standard Time,88,43,44,48,15,7,50,4,38.67709415132162,-77.37976837089887,55%,61%,52%,53%,53%,26,43,63,69,26,14.44,9.61,32%,33%,32%,5
Plymouth County,426012,Brockton,Massachusetts,1882,$82756,34%,41,$526768,1657,$315,51,73%,$1586,48%,139,930,10%,4%,68%,50%,42%,1%,14%,61%,4%,16%,Eastern Standard Time,84,38,45,51,41,6,76,3,42.01913758706469,-70.8790512534825,57%,64%,54%,56%,56%,18,39,59,64,21,11.36,13.04,36%,34%,37%,11
Somerset County,424746,Franklin township (Somerset Cnty),New Jersey,4552,$114566,55%,40,$497170,1806,$269,39,75%,$1720,43%,27,724,5%,3%,69%,54%,41%,19%,9%,48%,13%,27%,Eastern Standard Time,87,40,47,50,29,7,60,3,40.54836098260066,-74.57562836593306,55%,62%,50%,53%,51%,25,41,61,65,21,15.42,11.26,35%,37%,33%,11
Clark County,424532,Vancouver,Washington,3263,$78449,31%,38,$541195,1919,$280,30,65%,$1365,46%,367,2705,9%,5%,65%,44%,44%,4%,1%,76%,10%,11%,Pacific Standard Time,81,44,36,45,5,7,43,2,45.671885456961554,-122.57977988848543,50%,67%,30%,59%,46%,7,44,52,55,33,3.24,17.88,45%,18%,62%,2
Washoe County,423822,Reno,Nevada,2187,$66224,30%,37,$529089,1727,$304,31,56%,$1177,51%,N/A,N/A,11%,5%,67%,46%,45%,5%,2%,60%,26%,15%,Pacific Standard Time,92,45,47,10,33,6,63,5,39.56072325933481,-119.80950556794149,81%,92%,65%,31%,19%,15,29,38,59,25,1.07,4.77,15%,7%,22%,16
Adams County,420291,Thornton,Colorado,4081,$76060,27%,34,$515207,2098,$247,33,68%,$1455,49%,300,3068,8%,4%,71%,49%,41%,4%,1%,54%,35%,12%,Mountain Standard Time,91,45,46,16,49,8,39,5,39.897718314155426,-104.9680419529293,69%,71%,70%,43%,36%,41,29,47,59,18,4.64,2.34,20%,23%,14%,20
